t,x,y,th,v,omega,acc,gamma
20.6,46.09,92.394,0.28664,3.1794,0.62038,-0.34226,-0.40939
20.7,46.173,92.352,0.24777,3.213,0.088486,-0.33587,0.34119
20.8,46.257,92.311,0.36017,3.2149,-0.25585,-0.019219,0.22088
20.9,46.341,92.27,0.17691,3.1732,0.41715,0.41719,-0.43171
21,46.425,92.228,0.58062,3.2122,-0.91893,-0.38956,0.85705
21.1,46.508,92.187,0.43393,3.2093,0.33388,0.028615,-0.80363
21.2,46.592,92.146,0.070989,3.1916,0.82614,0.17671,-0.31577
21.3,46.676,92.104,0.23386,3.2111,-0.37073,-0.19425,0.76775
21.4,46.76,92.063,0.044854,3.1758,0.43022,0.35269,-0.51378
21.5,46.843,92.022,0.56223,3.1613,-1.1777,0.14511,1.0314
21.6,46.927,91.98,0.029273,3.2025,1.2131,-0.4122,-1.5336
21.7,47.011,91.939,0.031504,3.2167,-0.0050785,-0.14205,0.78144
21.8,47.095,91.898,0.53522,3.1796,-1.1466,0.37072,0.73223
21.9,47.178,91.856,0.42465,3.1959,0.25168,-0.16276,-0.89693
22,47.262,91.815,0.36504,3.1949,0.1357,0.0095375,0.074393
22.1,47.346,91.774,0.45452,3.2034,-0.20368,-0.084232,0.2177
22.2,47.429,91.733,0.53693,3.2279,-0.18758,-0.24486,-0.010327
22.3,47.513,91.691,0.20237,3.2689,0.76153,-0.41007,-0.60882
22.4,47.597,91.65,0.42132,3.2377,-0.49839,0.31131,0.8082
22.5,47.681,91.609,0.16805,3.2792,0.5765,-0.41471,-0.68951
22.6,47.764,91.567,0.2909,3.3188,-0.27964,-0.39552,0.54919
22.7,47.848,91.526,0.43973,3.3529,-0.33875,-0.34094,0.037918
22.8,47.932,91.485,0.23075,3.3673,0.47567,-0.14433,-0.52243
22.9,48.016,91.443,0.5395,3.3435,-0.70278,0.23789,0.75594
23,48.099,91.402,0.27127,3.3525,0.61055,-0.089608,-0.84245
23.1,48.183,91.361,0.37452,3.3452,-0.23501,0.072864,0.5424
23.2,48.267,91.319,0.17935,3.3324,0.44425,0.12787,-0.43572
23.3,48.351,91.278,0.27546,3.3522,-0.21877,-0.19829,0.4253
23.4,48.434,91.237,0.0052788,3.3451,0.61499,0.071618,-0.53482
23.5,48.518,91.195,0.5972,3.3611,-1.3473,-0.16057,1.2588
23.6,48.602,91.154,0.43621,3.3194,0.36646,0.41662,-1.0993
23.7,48.686,91.113,0.22619,3.2798,0.47805,0.3965,-0.071583
23.8,48.769,91.072,0.54648,3.3184,-0.72904,-0.38576,0.7743
23.9,48.853,91.03,0.50759,3.2923,0.088523,0.26044,-0.52444
24,48.937,90.989,0.53173,3.3227,-0.05495,-0.30336,0.092033
24.1,49.021,90.948,0.58753,3.3384,-0.12701,-0.1569,0.046224
24.2,49.104,90.906,0.039158,3.3147,1.2482,0.23665,-0.88215
